sku;store_view_code;name;price;product_type;attribute_set_code;product_websites;qty;product_online;tax_class_name;visibility;is_in_stock;categories;short_description;url_key;meta_title;meta_description;weight;base_image;base_image_label;small_image;small_image_label;thumbnail_image;thumbnail_image_label;hdd_razmer_filt_r_laptop;laptop_battery;laptop_cpu_filter;laptop_color;laptop_dimensions;laptop_display_info;laptop_display_resolution;laptop_display_size;laptop_gpu;laptop_gpu_memory;laptop_hdd_size;laptop_optical;laptop_os_filter;laptop_other_info;laptop_ports;laptop_processor;laptop_ram;laptop_ram_info;laptop_sound;laptop_warranty;laptop_weight;laptop_wifi;gsm_manufacturer;laptop_yes_no
81A50068BM;;Lenovo IdeaPad 120s 14.0;499.0;simple;Лаптопи;base;1;1;Taxable Goods;Catalog, Search;1;Главна директория,Главна директория/Лаптопи,Главна директория/Лаптопи/Lenovo;<ul class="short-description-list smartphone"><div class="row"><div class="col-md-2 col-md-offset-1"><li class="display-size">14.0 inch (35.56 cm)</li></div><div class="col-md-2"><li class="processor">Intel Celeron</li></div><div class="col-md-2"><li class="memory">4 GB</li></div><div class="col-md-2"><li class="hdd">32 GB</li></div><div class="col-md-2"><li class="battery">up to 7</li></div></div></ul>;Lenovo-IdeaPad-120s-14.0-top-cena-na-izplashtane;Lenovo IdeaPad 120s 14.0 на топ цена и на изплащане от Примиъм Мобайл ЕООД :: ревюта, характеристики, снимки;Можете да вземете Lenovo IdeaPad 120s 14.0 още днес на топ цена и на изплащане с минимално оскъпяване и светкавично одобрение от PremiumMobile.bg. Бърза доставка на следващия ден и любезно обслужване.;1.5;image1.jpg;Lenovo IdeaPad 120s 14.0 топ цена на изплащане;image1.jpg;Lenovo IdeaPad 120s 14.0 топ цена на изплащане;image1.jpg;Lenovo IdeaPad 120s 14.0 топ цена на изплащане;под 200 GB;up to 7 hours;Intel Celeron;Сив;337.4 x 234.9 x 18.6;H;1366x768;14.0 inch (35.56 cm);Intel® HD Graphics;No info;32 GB;X;Windows 10;Име на операционната система: Microsoft® Windows® 10 Home (64-bit)<br>Изход HDMI: Yes<br>Резолюция на екрана: 1366 x 768 Pixels<br>Номер на модела: IdeaPad 120s<br>Видео: Intel HD Graphics<br>Наименование на процесора: Intel® Celeron® N3350 (2M Cache  up to 2.4 GHz)<br>USB 2.0: 2<br>Твърд диск Тип: SSD<br>;;Intel Celeron;4 GB;DDR3L 1600;Audio Combo Jack;2 години;1.5;802.11b/g/n;Lenovo;Bluetooth|Камера|Четец за карти|USB 3.0
80VR00B2BM;;Lenovo Legion Y720 15.6;2979.0;simple;Лаптопи;base;1;1;Taxable Goods;Catalog, Search;1;Главна директория,Главна директория/Лаптопи,Главна директория/Лаптопи/Lenovo;<ul class="short-description-list smartphone"><div class="row"><div class="col-md-2 col-md-offset-1"><li class="display-size">15.6 inch (39.62 cm)</li></div><div class="col-md-2"><li class="processor">Intel Core i7</li></div><div class="col-md-2"><li class="memory">4 GB</li></div><div class="col-md-2"><li class="hdd">1000 GB</li></div><div class="col-md-2"><li class="battery">4-cell</li></div></div></ul>;Lenovo-Legion-Y720-15.6-top-cena-na-izplashtane;Lenovo Legion Y720 15.6 на топ цена и на изплащане от Примиъм Мобайл ЕООД :: ревюта, характеристики, снимки;Можете да вземете Lenovo Legion Y720 15.6 още днес на топ цена и на изплащане с минимално оскъпяване и светкавично одобрение от PremiumMobile.bg. Бърза доставка на следващия ден и любезно обслужване.;3.2;image2.jpg;Lenovo Legion Y720 15.6 топ цена на изплащане;image2.jpg;Lenovo Legion Y720 15.6 топ цена на изплащане;image2.jpg;Lenovo Legion Y720 15.6 топ цена на изплащане;801-1000 GB;4-cell;Intel Core i7;Черен;380мм x 277мм x 29мм;Antiglare;Full HD (1920x1080);15.6 inch (39.62 cm);NVIDIA GeForce GTX 1060 6GB GDDR5;No info;1000 GB;DVD;Windows 10;S-video-in: No<br>AV-in: No<br>DVI-D: No<br>eSATA: No<br>RF жак за TV вход: No<br>FIR / CIR: No<br>Smart Card четец: No<br>Свободни слотове за памет: 1<br>FingerPrint четец: No<br>ExpressCard™: No<br>S-video/TV-out: No<br>Наименование на процесора: Intel Core i7-7700HQ (6M cache  up to 3.80 GHz) QuadCore<br>Опция за втора видеокарта: No<br>Port Replicator: Yes<br>Твърд диск Тип: HDD<br>MagSafe 2: No<br>Слотове за памет: 2<br>Уебстраница: http://shop.lenovo.com/us/en/laptops/ideapad/legion-y-series/y720/<br>Изход Display port: No<br>Максимален обем: 32768<br>Име на операционната система: Microsoft® Windows® 10 Home (64-bit)<br>Изход HDMI: Yes<br>Резолюция на екрана: 1920 х 1080 Pixels<br>SPDIF: No<br>Номер на модела: Legion Y720<br>Видео: nVidia GeForce<br>Слот за SSD: М.2 2280<br>Dock connector: No<br>Опция сигурност: No<br>LAN: 10/100/1000<br>Thunderbolt: Yes<br>Serial port: No<br>Изход Micro HDMI: No<br>;RJ-45 (LAN): Yes RJ-11 (модем): No IEEE 1394 FireWire): No Micr/ line in  Speaker / out: Yes Mini Display port: No mini VGA: No Mini-HDMI: No OneLink Docking port: No Parallel port: No;Intel Core i7;4 GB;DDR4;Audio Combo Jack;2 години;3.2;802.11b/g/n;Lenovo;Bluetooth|Камера|Четец за карти|USB 3.0|RJ-45 порт
Y8A06EA;;Hewlett Packard HP ProBook 450;1279.0;simple;Лаптопи;base;1;1;Taxable Goods;Catalog, Search;1;Главна директория,Главна директория/Лаптопи,Главна директория/Лаптопи/HP;<ul class="short-description-list smartphone"><div class="row"><div class="col-md-2 col-md-offset-1"><li class="display-size">15.6 inch (39.62 cm)</li></div><div class="col-md-2"><li class="processor">Intel Core i3</li></div><div class="col-md-2"><li class="memory">4 GB</li></div><div class="col-md-2"><li class="hdd">500 GB</li></div><div class="col-md-2"><li class="battery">3-cell</li></div></div></ul>;Hewlett-Packard-HP-ProBook-450-top-cena-na-izplashtane;Hewlett Packard HP ProBook 450 на топ цена и на изплащане от Примиъм Мобайл ЕООД :: ревюта, характеристики, снимки;Можете да вземете Hewlett Packard HP ProBook 450 още днес на топ цена и на изплащане с минимално оскъпяване и светкавично одобрение от PremiumMobile.bg. Бърза доставка на следващия ден и любезно обслужване.;2.04;image3.jpg;Hewlett Packard HP ProBook 450 топ цена на изплащане;image3.jpg;Hewlett Packard HP ProBook 450 топ цена на изплащане;image3.jpg;Hewlett Packard HP ProBook 450 топ цена на изплащане;401-600 GB;3-cell;Intel Core i3;Черен;;LED-backlit HD anti-glare;1366x768;15.6 inch (39.62 cm);Intel® HD Graphics 620;No info;500 GB;DVD±RW;Windows 10;USB-C: 1<br>Име на операционната система: Microsoft® Windows® 10 Pro (64 bit)<br>Изход HDMI: Yes<br>Резолюция на екрана: 1366 x 768 Pixels<br>Номер на модела: HP ProBook 450 G4<br>Видео: Intel Iris Graphics<br>Слот за SSD: None<br>Изход VGA: Yes<br>Наименование на процесора: Intel® Core™ i3-7100U (2.4GHz 3MB Cache)<br>LAN: 10/100/1000<br>USB 2.0: 2<br>Твърд диск Тип: SATA<br>;RJ-45 (LAN): Yes Micr/ line in  Speaker / out: Yes;Intel Core i3;4 GB;DDR4;Audio Combo Jack;2 години;2.04;802.11ac/a/b/g/n;HP;Bluetooth|Камера|Четец за карти|USB 3.0|RJ-45 порт
20H1006LBM;;Lenovo ThinkPad E470 Intel Core;1559.0;simple;Лаптопи;base;1;1;Taxable Goods;Catalog, Search;1;Главна директория,Главна директория/Лаптопи,Главна директория/Лаптопи/Lenovo;<ul class="short-description-list smartphone"><div class="row"><div class="col-md-2 col-md-offset-1"><li class="display-size">14.0 inch (35.56 cm)</li></div><div class="col-md-2"><li class="processor">Intel Core i5</li></div><div class="col-md-2"><li class="memory">4 GB</li></div><div class="col-md-2"><li class="hdd">500 GB</li></div><div class="col-md-2"><li class="battery">3-cell</li></div></div></ul>;Lenovo-ThinkPad-E470-Intel-Core-top-cena-na-izplashtane;Lenovo ThinkPad E470 Intel Core на топ цена и на изплащане от Примиъм Мобайл ЕООД :: ревюта, характеристики, снимки;Можете да вземете Lenovo ThinkPad E470 Intel Core още днес на топ цена и на изплащане с минимално оскъпяване и светкавично одобрение от PremiumMobile.bg. Бърза доставка на следващия ден и любезно обслужване.;2;image4.jpg;Lenovo ThinkPad E470 Intel Core топ цена на изплащане;image4.jpg;Lenovo ThinkPad E470 Intel Core топ цена на изплащане;image4.jpg;Lenovo ThinkPad E470 Intel Core топ цена на изплащане;401-600 GB;3-cell;Intel Core i5;Черен;;Anti-Glare;Full HD (1920x1080);14.0 inch (35.56 cm);Intel HD Graphics 620;No info;500 GB;X;MS-Dos;Web камера  MP: 720p HD Cam<br>Серия: Thinkpad E470<br>Четец на пръстов отпечатък: Fingerprint Reader<br>Windows OS: yes<br>Памет  тип: DDR4<br>Тегло  kg: 1.90 kg<br>Мрежа: Gigabit Ethernet<br>Твърд диск  тип: SATA<br>Ethernet (RJ-45) порт: RJ-45<br>Софтуер: Windows 10 Pro<br>Звук: Dolby Audio Premium  2 stereo speakers<br>;2 USB 3.0  1 USB 2.0 HDMI порт: HDMI 1.4;Intel Core i5-7200U 2.50 GHz  3 MB cache;4 GB;No Info;Combo audio/microphone jack;24 месеца;2;WLAN Ac;Lenovo;Bluetooth|Четец за карти
NX.GNPEX.042;;Acer Aspire 3 NX.GNPEX.042;899.0;simple;Лаптопи;base;1;1;Taxable Goods;Catalog, Search;1;Главна директория,Главна директория/Лаптопи,Главна директория/Лаптопи/ACER;<ul class="short-description-list smartphone"><div class="row"><div class="col-md-2 col-md-offset-1"><li class="display-size">15.6 inch (39.62 cm)</li></div><div class="col-md-2"><li class="processor">Intel Core i3</li></div><div class="col-md-2"><li class="memory">4 GB</li></div><div class="col-md-2"><li class="hdd">256 GB</li></div><div class="col-md-2"><li class="battery">37 Wh 4810</li></div></div></ul>;Acer-Aspire-3-NX.GNPEX.042-top-cena-na-izplashtane;Acer Aspire 3 NX.GNPEX.042 на топ цена и на изплащане от Примиъм Мобайл ЕООД :: ревюта, характеристики, снимки;Можете да вземете Acer Aspire 3 NX.GNPEX.042 още днес на топ цена и на изплащане с минимално оскъпяване и светкавично одобрение от PremiumMobile.bg. Бърза доставка на следващия ден и любезно обслужване.;2;image5.jpg;Acer Aspire 3 NX.GNPEX.042 топ цена на изплащане;image5.jpg;Acer Aspire 3 NX.GNPEX.042 топ цена на изплащане;image5.jpg;Acer Aspire 3 NX.GNPEX.042 топ цена на изплащане;200-400 GB;37 Wh 4810 mAh 7.7 V 2-cell Li-ion battery;Intel Core i3;Черен;;Anti-Glare;Full HD (1920x1080);15.6 inch (39.62 cm);Intel HD Graphics 620;No info;256 GB;X;MS-Dos;Web камера  MP: HD Cam<br>Памет  слотове: upgradable of 12GB  single soDIMM module<br>Серия: Aspire 3<br>Сигурност: Kensington lock slot<br>Памет  тип: DDR4<br>Тегло  kg: 2.10 kg<br>Мрежа: Gigabit Ethernet<br>Твърд диск  тип: SSD<br>Ethernet (RJ-45) порт: RJ-45<br>Софтуер: Linux<br>Звук: Two built-in stereo speakers  Built-in digital microphone<br>;1 USB 3.0  2 USB 2.0 HDMI порт: HDMI;Intel Core i3-7100U 2.40 GHz  3 MB cache;4 GB;No Info;Headset/speaker jack;24 месеца;2;802.11ac;ACER;Bluetooth|Четец за карти
N016L748014EMEA;;Dell Latitude E7480 N016L748014EMEA;3009.0;simple;Лаптопи;base;1;1;Taxable Goods;Catalog, Search;1;Главна директория,Главна директория/Лаптопи,Главна директория/Лаптопи/DELL;<ul class="short-description-list smartphone"><div class="row"><div class="col-md-2 col-md-offset-1"><li class="display-size">14.0 inch (35.56 cm)</li></div><div class="col-md-2"><li class="processor">Intel Core i5</li></div><div class="col-md-2"><li class="memory">8 GB</li></div><div class="col-md-2"><li class="hdd">256 GB</li></div><div class="col-md-2"><li class="battery">Primary 4-cell 60W/HR</li></div></div></ul>;Dell-Latitude-E7480-N016L748014EMEA-top-cena-na-izplashtane;Dell Latitude E7480 N016L748014EMEA на топ цена и на изплащане от Примиъм Мобайл ЕООД :: ревюта, характеристики, снимки;Можете да вземете Dell Latitude E7480 N016L748014EMEA още днес на топ цена и на изплащане с минимално оскъпяване и светкавично одобрение от PremiumMobile.bg. Бърза доставка на следващия ден и любезно обслужване.;2;image6.jpg;Dell Latitude E7480 N016L748014EMEA топ цена на изплащане;image6.jpg;Dell Latitude E7480 N016L748014EMEA топ цена на изплащане;image6.jpg;Dell Latitude E7480 N016L748014EMEA топ цена на изплащане;200-400 GB;Primary 4-cell 60W/HR Battery  65W AC Adapter  3-pin;Intel Core i5;Черен;;Anti-Glare;Full HD (1920x1080);14.0 inch (35.56 cm);Intel HD Graphics 620;No info;256 GB;X;MS-Dos;Web камера  MP: HD Cam<br>Серия: Latitude E7480<br>M.2 слот: no free slot available<br>Четец на пръстов отпечатък: Fingerprint Reader<br>Windows OS: yes<br>Памет  тип: DDR4<br>Тегло  kg: 1.36 kg<br>Мрежа: 10/100/1000 Gigabit Ethernet<br>Твърд диск  тип: SSD<br>Ethernet (RJ-45) порт: RJ-45<br>Софтуер: Windows 10 Pro (64bit) English<br>Display порт: 1 DisplayPort over USB Type C<br>;3 USB 3.1 Gen 1 (one with PowerShare) HDMI порт: HDMI;Intel Core i5-7200U 2.50 GHz  3 MB cache;8 GB;No Info;1 Headset/mic combo jack;24 месеца;2;Intel Dual-Band Wireless-AC 8265 Wi-Fi;DELL;Bluetooth|Четец за карти|Подсветка на клавиатурата
20J40036BM;;Lenovo  ThinkPad L470;1099.0;simple;Лаптопи;base;1;1;Taxable Goods;Catalog, Search;1;Главна директория,Главна директория/Лаптопи,Главна директория/Лаптопи/Lenovo;<ul class="short-description-list smartphone"><div class="row"><div class="col-md-2 col-md-offset-1"><li class="display-size">14.0 inch (35.56 cm)</li></div><div class="col-md-2"><li class="processor">Intel Core i3</li></div><div class="col-md-2"><li class="memory">4 GB</li></div><div class="col-md-2"><li class="hdd">1000 GB</li></div><div class="col-md-2"><li class="battery">6-cell 14.48h</li></div></div></ul>;Lenovo--ThinkPad-L470-top-cena-na-izplashtane;Lenovo  ThinkPad L470 на топ цена и на изплащане от Примиъм Мобайл ЕООД :: ревюта, характеристики, снимки;Можете да вземете Lenovo  ThinkPad L470 още днес на топ цена и на изплащане с минимално оскъпяване и светкавично одобрение от PremiumMobile.bg. Бърза доставка на следващия ден и любезно обслужване.;2.02;image7.jpg;Lenovo  ThinkPad L470 топ цена на изплащане;image7.jpg;Lenovo  ThinkPad L470 топ цена на изплащане;image7.jpg;Lenovo  ThinkPad L470 топ цена на изплащане;801-1000 GB;6-cell 14.48h;Intel Core i3;Черен;339mm x 235mm x 23.9mm;Antiglare;1366x768;14.0 inch (35.56 cm);Intel® HD Graphics 620;No info;1000 GB;X;MS-Dos;Слотове за памет: 2<br>Максимален обем: 32768<br>Име на операционната система: DOS<br>Резолюция на екрана: 1366 x 768 Pixels<br>Номер на модела: ThinkPad L470<br>Видео: Intel HD Graphics<br>Чипсет: Intel SoC platform<br>Изход VGA: Yes<br>Smart Card четец: Yes<br>Свободни слотове за памет: 1<br>Dock connector: Yes<br>FingerPrint четец: Yes<br>Опция сигурност: dTPM 2.0<br>Наименование на процесора: Intel® Core™ i3-7100U (2.4GHz 3MB Cache)<br>LAN: 10/100/1000<br>;RJ-45 (LAN): Yes Micr/ line in  Speaker / out: Yes Mini Display port: Yes;Intel Core i3;4 GB;DDR4;Audio Combo Jack;3 години;2.02;802 11a/c;Lenovo;Bluetooth|Камера|Четец за карти|Сензор за отпечатък|USB 3.0|RJ-45 порт
80X200FNBM;;Lenovo IdeaPad 520s 14;1839.0;simple;Лаптопи;base;1;1;Taxable Goods;Catalog, Search;1;Главна директория,Главна директория/Лаптопи,Главна директория/Лаптопи/Lenovo;<ul class="short-description-list smartphone"><div class="row"><div class="col-md-2 col-md-offset-1"><li class="display-size">14.0 inch (35.56 cm)</li></div><div class="col-md-2"><li class="processor">Intel Core i7</li></div><div class="col-md-2"><li class="memory">8 GB</li></div><div class="col-md-2"><li class="hdd">256 GB</li></div><div class="col-md-2"><li class="battery">12 hours</li></div></div></ul>;Lenovo-IdeaPad-520s-14-top-cena-na-izplashtane;Lenovo IdeaPad 520s 14 на топ цена и на изплащане от Примиъм Мобайл ЕООД :: ревюта, характеристики, снимки;Можете да вземете Lenovo IdeaPad 520s 14 още днес на топ цена и на изплащане с минимално оскъпяване и светкавично одобрение от PremiumMobile.bg. Бърза доставка на следващия ден и любезно обслужване.;1.18;image8.jpg;Lenovo IdeaPad 520s 14 топ цена на изплащане;image8.jpg;Lenovo IdeaPad 520s 14 топ цена на изплащане;image8.jpg;Lenovo IdeaPad 520s 14 топ цена на изплащане;200-400 GB;12 hours;Intel Core i7;Сив;327.4 x 236.5 x 19.33 mm;uot  IPS Full HD;Full HD (1920x1080);14.0 inch (35.56 cm);NVIDIA® GF 940MX 2GB;No info;256 GB;X;MS-Dos;Слотове за памет: 1<br>Уебстраница: http://www3.lenovo.com/au/en/deals/current-offers/warehouse-sale/Notebook-IP-520S-14IKB-I5-8G-256G-10H/p/80X20073AU<br>USB-C: 1<br>Име на операционната система: DOS<br>Изход HDMI: Yes<br>Резолюция на екрана: 1920 х 1080 Pixels<br>Номер на модела: IdeaPad 520s<br>Видео: nVidia GeForce<br>Свободни слотове за памет: 0<br>FingerPrint четец: Yes<br>Наименование на процесора: Intel® Core™ i7-7500U up to 3.5GHz<br>USB 2.0: 1<br>Твърд диск Тип: SSD<br>;Micr/ line in  Speaker / out: Yes;Intel Core i7;8 GB;DDR4;Audio Combo Jack;2 години;1.18;802 11a/c;Lenovo;Bluetooth|Камера|Четец за карти|Сензор за отпечатък|USB 3.0
N039L548014EMEA;;Dell Latitude E5480 N039L548014EMEA;2129.0;simple;Лаптопи;base;1;1;Taxable Goods;Catalog, Search;1;Главна директория,Главна директория/Лаптопи,Главна директория/Лаптопи/DELL;<ul class="short-description-list smartphone"><div class="row"><div class="col-md-2 col-md-offset-1"><li class="display-size">14.0 inch (35.56 cm)</li></div><div class="col-md-2"><li class="processor">Intel Core i5</li></div><div class="col-md-2"><li class="memory">8 GB</li></div><div class="col-md-2"><li class="hdd">256 GB</li></div><div class="col-md-2"><li class="battery">Primary 4-cell 68W/HR</li></div></div></ul>;Dell-Latitude-E5480-N039L548014EMEA-top-cena-na-izplashtane;Dell Latitude E5480 N039L548014EMEA на топ цена и на изплащане от Примиъм Мобайл ЕООД :: ревюта, характеристики, снимки;Можете да вземете Dell Latitude E5480 N039L548014EMEA още днес на топ цена и на изплащане с минимално оскъпяване и светкавично одобрение от PremiumMobile.bg. Бърза доставка на следващия ден и любезно обслужване.;2;image9.jpg;Dell Latitude E5480 N039L548014EMEA топ цена на изплащане;image9.jpg;Dell Latitude E5480 N039L548014EMEA топ цена на изплащане;image9.jpg;Dell Latitude E5480 N039L548014EMEA топ цена на изплащане;200-400 GB;Primary 4-cell 68W/HR Battery  65W AC Adapter  3-pin;Intel Core i5;Черен;;Anti-Glare;1366x768;14.0 inch (35.56 cm);Intel HD Graphics 620;No info;256 GB;X;MS-Dos;Web камера  MP: Webcam<br>Серия: Latitude E5480<br>Сигурност: Nobel Wedge lock slot<br>Windows OS: yes<br>VGA конектор: VGA<br>Памет  тип: DDR4<br>Тегло  kg: 1.60 kg<br>Мрежа: 10/100/1000 Gigabit Ethernet<br>Твърд диск  тип: SSD<br>Ethernet (RJ-45) порт: RJ-45<br>Софтуер: Windows 10 Pro (64bit) English<br>Display порт: Display Port Over Type C<br>;1 USB 3.0 with Powershare  2 USB 3.0 HDMI порт: HDMI;Intel Core i5-7200U 2.50 GHz  3 MB cache;8 GB;No Info;1 Headset/mic combo jack;24 месеца;2;Intel Dual-Band Wireless-AC 8265 Wi-Fi;DELL;Bluetooth|Четец за карти|Подсветка на клавиатурата
90NB0CF1-M31760;;Asus X541UA-DM1856 90NB0CF1-M31760;949.0;simple;Лаптопи;base;1;1;Taxable Goods;Catalog, Search;1;Главна директория,Главна директория/Лаптопи,Главна директория/Лаптопи/ASUS;<ul class="short-description-list smartphone"><div class="row"><div class="col-md-2 col-md-offset-1"><li class="display-size">15.6 inch (39.62 cm)</li></div><div class="col-md-2"><li class="processor">Intel Core i3</li></div><div class="col-md-2"><li class="memory">8 GB</li></div><div class="col-md-2"><li class="hdd">256 GB</li></div><div class="col-md-2"><li class="battery">36WHrs  3S1P  3-cell</li></div></div></ul>;Asus-X541UA-DM1856-90NB0CF1-M31760-top-cena-na-izplashtane;Asus X541UA-DM1856 90NB0CF1-M31760 на топ цена и на изплащане от Примиъм Мобайл ЕООД :: ревюта, характеристики, снимки;Можете да вземете Asus X541UA-DM1856 90NB0CF1-M31760 още днес на топ цена и на изплащане с минимално оскъпяване и светкавично одобрение от PremiumMobile.bg. Бърза доставка на следващия ден и любезно обслужване.;2;image10.jpg;Asus X541UA-DM1856 90NB0CF1-M31760 топ цена на изплащане;image10.jpg;Asus X541UA-DM1856 90NB0CF1-M31760 топ цена на изплащане;image10.jpg;Asus X541UA-DM1856 90NB0CF1-M31760 топ цена на изплащане;200-400 GB;36WHrs  3S1P  3-cell Li-ion  45W AC Adapter;Intel Core i3;Черен;;Anti-Glare;Full HD (1920x1080);15.6 inch (39.62 cm);Intel HD Graphics 520;No info;256 GB;DVD+/-RW;MS-Dos;Web камера  MP: VGA web camera<br>Памет  слотове: 1 slot free<br>Серия: X series<br>VGA конектор: VGA<br>Памет  тип: DDR4<br>Тегло  kg: 2.00 kg<br>Мрежа: 10/100 Mbps<br>Твърд диск  тип: SSD<br>Ethernet (RJ-45) порт: RJ-45<br>Софтуер: Linux<br>Звук: Built-in speaker  Built-in microphone<br>;1 USB 2.0  1 USB 3.0  1 USB3.1 Type C (gen 1) HDMI порт: HDMI;Intel Core i3-6006U 2.00 GHz  3 MB cache;8 GB;No Info;1 Headphone-out &amp  Audio-in Combo Jack;24 месеца;2;802.11bgn;ASUS;Bluetooth|Четец за карти
5397184067253;;Dell Alienware 17 R4 5397184067253;7989.0;simple;Лаптопи;base;1;1;Taxable Goods;Catalog, Search;1;Главна директория,Главна директория/Лаптопи,Главна директория/Лаптопи/DELL;<ul class="short-description-list smartphone"><div class="row"><div class="col-md-2 col-md-offset-1"><li class="display-size">17.3 inch (43.94 cm)</li></div><div class="col-md-2"><li class="processor">Intel Core i7</li></div><div class="col-md-2"><li class="memory">32 GB</li></div><div class="col-md-2"><li class="hdd">1000 GB</li></div><div class="col-md-2"><li class="battery">Lithium Ion (99</li></div></div></ul>;Dell-Alienware-17-R4-5397184067253-top-cena-na-izplashtane;Dell Alienware 17 R4 5397184067253 на топ цена и на изплащане от Примиъм Мобайл ЕООД :: ревюта, характеристики, снимки;Можете да вземете Dell Alienware 17 R4 5397184067253 още днес на топ цена и на изплащане с минимално оскъпяване и светкавично одобрение от PremiumMobile.bg. Бърза доставка на следващия ден и любезно обслужване.;2;image11.jpg;Dell Alienware 17 R4 5397184067253 топ цена на изплащане;image11.jpg;Dell Alienware 17 R4 5397184067253 топ цена на изплащане;image11.jpg;Dell Alienware 17 R4 5397184067253 топ цена на изплащане;801-1000 GB;Lithium Ion (99 Wh) Battery  Alienware 330W AC Adapter;Intel Core i7;Черен;;IPS Anti-Glare;1366x768;17.3 inch (43.94 cm);NVIDIA GeForce GTX 1080;8192MB GDDR5X;1000 GB;X;MS-Dos;Web камера  MP: HD Cam<br>Памет  слотове: 4 slots  max. 32 GB<br>Серия: Alienware 17 R4<br>Сигурност: Kensington Lock<br>M.2 слот: yes<br>Чипсет: Intel HM77<br>Windows OS: yes<br>Памет  тип: DDR4<br>Тегло  kg: 4.36 kg<br>Мрежа: Integrated 10/100/1000Mbps Gigabit Ethernet<br>Твърд диск  тип: SSD&amp SATA<br>Ethernet (RJ-45) порт: RJ-45<br>Софтуер: Windows 10 Home-HE (64bit) English<br>Display порт: DisplayPort<br>Звук: Creative Sound Blaster Recon3Di  Intel Panther Point PCH - High Definition Audio Controller<br>;1 USB 2.0  4 USB 3.0 / 3.1 Gen1 HDMI порт: HDMI;Intel Core i7-7820HK 2.90 GHz  8 MB cache;32 GB;No Info;Audio Connections: 1 Line-In  3 Line-Out (incl. S/PDIF);24 месеца;2;Killer 1435 802.11ac 2x2 WiFi;DELL;Bluetooth|Четец за карти|Подсветка на клавиатурата
Z2W56EA;;Hewlett Packard HP ProBook 650;1819.0;simple;Лаптопи;base;1;1;Taxable Goods;Catalog, Search;1;Главна директория,Главна директория/Лаптопи,Главна директория/Лаптопи/HP;<ul class="short-description-list smartphone"><div class="row"><div class="col-md-2 col-md-offset-1"><li class="display-size">15.6 inch (39.62 cm)</li></div><div class="col-md-2"><li class="processor">Intel Core i5</li></div><div class="col-md-2"><li class="memory">8 GB</li></div><div class="col-md-2"><li class="hdd">500 GB</li></div><div class="col-md-2"><li class="battery">3-cell 48wh</li></div></div></ul>;Hewlett-Packard-HP-ProBook-650-top-cena-na-izplashtane;Hewlett Packard HP ProBook 650 на топ цена и на изплащане от Примиъм Мобайл ЕООД :: ревюта, характеристики, снимки;Можете да вземете Hewlett Packard HP ProBook 650 още днес на топ цена и на изплащане с минимално оскъпяване и светкавично одобрение от PremiumMobile.bg. Бърза доставка на следващия ден и любезно обслужване.;2.31;image12.jpg;Hewlett Packard HP ProBook 650 топ цена на изплащане;image12.jpg;Hewlett Packard HP ProBook 650 топ цена на изплащане;image12.jpg;Hewlett Packard HP ProBook 650 топ цена на изплащане;401-600 GB;3-cell 48wh;Intel Core i5;Черен;37.8 x 25.7 x 2.74 cm;FullHD;1366x768;15.6 inch (39.62 cm);Intel® HD Graphics 620;No info;500 GB;DVD±RW;Windows 10;Изход Display port: Yes<br>USB-C: 1<br>Име на операционната система: Microsoft® Windows® 10 Pro (64 bit)<br>Резолюция на екрана: 1920 х 1080 Pixels<br>Номер на модела: ProBook 650 G3<br>Видео: Intel HD Graphics<br>Слот за SSD: None<br>Чипсет: Integrated with processor<br>Изход VGA: Yes<br>Dock connector: Yes<br>Опция сигурност: TPM 1.2<br>Наименование на процесора: Intel® Core™ i5-7200U up to 3.1GHz<br>LAN: 10/100/1000<br>;RJ-45 (LAN): Yes Micr/ line in  Speaker / out: Yes;Intel Core i5;8 GB;DDR4-2133 SDRAM;Audio Combo Jack;1 година;2.31;802.11a/b/g/n;HP;Bluetooth|Камера|Четец за карти|USB 3.0|RJ-45 порт
